LITHOLOGY,CODE
BEDROCK,DoNotUse
FIRECLAY,DoNotUse
VOID,DoNotUse
CLAY AND STONE,0
DIRT AND BEDROCK,DoNotUse
DIRT AND STONE,DoNotUse
GRAVEL AND STONE,0
BOULDER,0
BOULDERS AND CLAY,0
GRAVEL WITH BOULDERS,0
CLAY,0
DIRT AND CLAY,0
CLAY AND GRAVEL,0
CLAY WITH GRAVEL,0
MUD AND GRAVEL,0
CLAY AND SAND,0
CLAY WITH SAND,0
MUD AND SAND,0
CLAY WITH GRAVEL SEAMS,0
CLAY WITH SAND STREAKS,0
FILL,DoNotUse
DRIFT,DoNotUse
MUD,0
DIRT AND GRAVEL,0
GRAVEL,0
GRAVEL WITH SAND,0
GRAVEL AND CLAY,0
GRAVEL WITH CLAY,0
GRAVEL WITH CLAY STREAKS,0
MARL,0
ORGANIC MATERIAL,0
DIRT AND SAND,0
SAND,0
SAND AND CLAY,0
SAND WITH CLAY,0
SAND AND GRAVEL,0
SAND WITH GRAVEL,0
SAND WITH CLAY STREAKS,0
SILT,1
SILT AND GRAVEL,1
SILT AND SAND,1
SILT WITH SAND SEAMS,1
DIRT,DoNotUse
SOIL,DoNotUse
UNKNOWN,DoNotUse
